MatchId,GameVer,GameDate,GameTier,Champion,Position,Win,Versus,CollectDate,ChampLevel,SoloKills,Assists,DamagePerMinute,DamageTakenOnTeamPercentage,CounterJungle,Kda,LaneMinions10Min,Deaths,TotalDamageDealtToChampions,KillsNearEnemyTurret,VisionScore,ControlWard
KR_6699754798,13.18.530.4653,2023-09-13 10:39:27,SILVER,Gnar,TOP,TRUE,Fiora,2023-09-14 0:27:29,12,0,2,443.3251774,0.206740428,0,0.285714286,45,7,10704,0,11,0
KR_6699754798,13.18.530.4653,2023-09-13 10:39:27,SILVER,Nocturne,JUNGLE,TRUE,Khazix,2023-09-14 0:27:29,13,2,1,544.870256,0.277826994,5,0.363636364,29,11,13156,0,18,4
KR_6699754798,13.18.530.4653,2023-09-13 10:39:27,SILVER,Sion,MIDDLE,TRUE,Leblanc,2023-09-14 0:27:29,13,3,0,492.0207379,0.230558025,0,4,78,1,11880,0,19,1
KR_6699754798,13.18.530.4653,2023-09-13 10:39:27,SILVER,Ashe,BOTTOM,TRUE,Ezreal,2023-09-14 0:27:29,9,1,2,482.0485622,0.136851516,0,0.875,56,8,11639,1,6,0
